# estimated x; estimated y; actual x; actual y; error distance
-7.0;-5.5;-23.9;-9.65;17.402083208627637
-8.0;-5.0;-23.9;-9.65;16.566004346250786
19.0;4.0;-23.9;-9.65;45.01924588439926
19.0;4.0;-23.9;-9.65;45.01924588439926
-19.0;-9.75;-23.9;-9.65;4.9010203019371374
19.0;4.0;-23.0;-10.55;44.44887512637412
19.0;4.0;-23.0;-10.55;44.44887512637412
-5.5;-5.5;-23.0;-10.55;18.214074228464096
19.0;4.0;-23.0;-10.55;44.44887512637412
-19.5;-10.25;-23.0;-10.55;3.5128336140500593
-4.0;-5.5;-19.65;-10.7;16.49128557754064
19.0;4.0;-19.65;-10.7;41.35108825653806
7.0;-0.75;-19.65;-10.7;28.446880321047505
19.0;4.5;-19.65;-10.7;41.53146397612297
19.0;4.0;-19.65;-10.7;41.35108825653806
0.5;0.25;-17.35;-11.2;21.20672063285599
19.0;4.0;-17.35;-11.2;39.40003172587555
19.0;4.0;-17.35;-11.2;39.40003172587555
21.0;5.0;-17.35;-11.2;41.63126829679826
19.0;4.5;-17.35;-11.2;39.59561213063892
13.0;0.25;-15.5;-9.6;30.15414565196633
8.0;-0.25;-15.5;-9.6;25.291747665987813
-13.5;-10.75;-15.5;-9.6;2.3070543990118657
-12.0;-10.25;-15.5;-9.6;3.559845502265513
9.5;-0.75;-15.5;-9.6;26.520228128732224
-13.0;-10.25;-12.9;-10.5;0.2692582403567251
-12.0;-9.75;-12.9;-10.5;1.1715374513859984
19.0;4.0;-12.9;-10.5;35.04083332342426
-15.0;-10.25;-12.9;-10.5;2.11482859825566
9.5;-1.25;-12.9;-10.5;24.234737465052103
0.0;-5.0;-10.55;-9.9;11.632390124131842
-6.0;-12.75;-10.55;-9.9;5.368891878218447
12.0;-0.75;-10.55;-9.9;24.335673403462664
-15.0;-10.75;-10.55;-9.9;4.530452516029717
12.0;-0.75;-10.55;-9.9;24.335673403462664
19.0;4.0;-9.2;-10.75;31.82455812733305
19.0;4.5;-9.2;-10.75;32.05935900794026
19.0;4.5;-9.2;-10.75;32.05935900794026
16.5;-0.75;-9.2;-10.75;27.576983156248257
19.0;4.0;-9.2;-10.75;31.82455812733305
19.0;4.0;-6.35;-10.2;29.056195552756044
13.5;-0.75;-6.35;-10.2;21.98465373846038
12.0;-0.75;-6.35;-10.2;20.64037305864407
19.0;4.0;-6.35;-10.2;29.056195552756044
16.5;-0.75;-6.35;-10.2;24.72700952400027
2.5;-5.0;-4.1;-9.9;8.22009732302483
7.5;-4.5;-4.1;-9.9;12.79531164137865
13.5;-0.25;-4.1;-9.9;20.07193314058215
19.0;4.0;-4.1;-9.9;26.959599403551977
15.0;0.25;-4.1;-9.9;21.629435961208053
19.0;4.0;-2.05;-11.1;25.905839110131136
19.0;4.0;-2.05;-11.1;25.905839110131136
6.0;-4.0;-2.05;-11.1;10.733708585572836
15.5;2.75;-2.05;-11.1;22.35676631357943
19.0;4.0;-2.05;-11.1;25.905839110131136
5.0;-5.5;-0.95;-9.95;7.430006729472053
22.0;7.0;-0.95;-9.95;28.530772860194304
19.0;4.0;-0.95;-9.95;24.343479619807848
28.0;5.0;-0.95;-9.95;32.58228046039749
3.5;-7.5;-0.95;-9.95;5.079862202855507
16.0;0.25;0.85;-18.55;24.144616377155387
19.0;4.0;0.85;-18.55;28.94693420726969
26.5;6.0;0.85;-18.55;35.50528129729435
26.5;6.0;0.85;-18.55;35.50528129729435
24.0;4.5;0.85;-18.55;32.66840981743678
21.5;4.5;1.15;-15.15;28.288601944953022
20.0;7.5;1.15;-15.15;29.46769417514713
28.0;5.0;1.15;-15.15;33.57000148942505
28.0;5.0;1.15;-15.15;33.57000148942505
28.0;5.0;1.15;-15.15;33.57000148942505
19.0;-3.25;0.75;-13.05;20.714789402743154
27.5;4.0;0.75;-13.05;31.721680283364563
26.0;5.5;0.75;-13.05;31.331533636258534
16.0;-0.75;0.75;-13.05;19.592154041860738
25.5;5.5;0.75;-13.05;30.930001616553465
16.0;0.25;1.55;-11.95;18.911438337683357
23.5;7.0;1.55;-11.95;28.99836202270742
26.0;5.5;1.55;-11.95;30.038392100776633
26.5;5.5;1.55;-11.95;30.446756805939117
27.0;6.0;1.55;-11.95;31.143297834365583
30.5;5.5;1.2;-9.05;32.71379678362021
