# estimated x; estimated y; actual x; actual y; error distance
-17.5;-10.75;-23.9;-9.65;6.493843238021686
20.0;3.5;-23.9;-9.65;45.82720262027784
20.0;3.5;-23.9;-9.65;45.82720262027784
20.0;3.5;-23.9;-9.65;45.82720262027784
-23.5;-9.25;-23.9;-9.65;0.5656854249492372
20.0;3.5;-23.0;-10.55;45.23718050453631
20.0;3.5;-23.0;-10.55;45.23718050453631
-17.5;-10.75;-23.0;-10.55;5.503635162326805
20.0;3.5;-23.0;-10.55;45.23718050453631
-17.5;-10.75;-23.0;-10.55;5.503635162326805
-13.0;-10.75;-19.65;-10.7;6.650187967268292
20.0;3.5;-19.65;-10.7;42.11605988218746
-14.5;-9.25;-19.65;-10.7;5.350233639758173
15.5;3.5;-19.65;-10.7;37.90992614078798
20.0;3.5;-19.65;-10.7;42.11605988218746
9.5;6.5;-17.35;-11.2;32.15917442970202
20.0;3.5;-17.35;-11.2;40.138665897112226
20.0;3.5;-17.35;-11.2;40.138665897112226
15.5;3.5;-17.35;-11.2;35.98906083798242
20.0;3.5;-17.35;-11.2;40.138665897112226
-16.0;-9.25;-15.5;-9.6;0.6103277807866849
15.5;3.5;-15.5;-9.6;33.65427164566186
-13.0;-10.75;-15.5;-9.6;2.7518175811634027
-10.0;-10.75;-15.5;-9.6;5.618941181397079
20.0;3.5;-15.5;-9.6;37.83992600415598
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-13.0;-10.75;-12.9;-10.5;0.2692582403567251
20.0;3.5;-12.9;-10.5;35.754859809541976
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-7.0;-10.75;-12.9;-10.5;5.905294234837076
-10.0;-9.25;-10.55;-9.9;0.8514693182963208
-16.0;-9.25;-10.55;-9.9;5.4886246000250365
23.0;5.0;-10.55;-9.9;36.7098420045633
-17.5;-10.75;-10.55;-9.9;7.00178548657412
23.0;5.0;-10.55;-9.9;36.7098420045633
20.0;3.5;-9.2;-10.75;32.49157583128279
20.0;3.5;-9.2;-10.75;32.49157583128279
20.0;3.5;-9.2;-10.75;32.49157583128279
-2.5;-10.75;-9.2;-10.75;6.699999999999999
20.0;3.5;-9.2;-10.75;32.49157583128279
20.0;3.5;-6.35;-10.2;29.698695257536148
-2.5;-10.75;-6.35;-10.2;3.8890872965260113
23.0;5.0;-6.35;-10.2;33.05242048625183
20.0;3.5;-6.35;-10.2;29.698695257536148
-2.5;-10.75;-6.35;-10.2;3.8890872965260113
-7.0;-10.75;-4.1;-9.9;3.0220026472523154
-7.0;-9.25;-4.1;-9.9;2.9719522203427164
-2.5;-9.25;-4.1;-9.9;1.726991603917054
20.0;3.5;-4.1;-9.9;27.57480734293533
20.0;3.5;-4.1;-9.9;27.57480734293533
20.0;3.5;-2.05;-11.1;26.44546274883463
20.0;3.5;-2.05;-11.1;26.44546274883463
20.0;3.5;-2.05;-11.1;26.44546274883463
24.5;5.0;-2.05;-11.1;31.050161030178252
21.5;5.0;-2.05;-11.1;28.527399110329004
-7.0;-9.25;-0.95;-9.95;6.0903612372337985
21.5;8.0;-0.95;-9.95;28.743781936272754
21.5;5.0;-0.95;-9.95;26.972300606362815
20.0;3.5;-0.95;-9.95;24.89588319381339
-10.0;-9.25;-0.95;-9.95;9.077031453068784
23.0;5.0;0.85;-18.55;32.32993968444729
20.0;3.5;0.85;-18.55;29.204879729250727
26.0;5.0;0.85;-18.55;34.45468037872359
23.0;5.0;0.85;-18.55;32.32993968444729
23.0;3.5;0.85;-18.55;31.254199717797928
20.0;3.5;1.15;-15.15;26.516881415430436
23.0;6.5;1.15;-15.15;30.7594700864628
20.0;3.5;1.15;-15.15;26.516881415430436
20.0;3.5;1.15;-15.15;26.516881415430436
20.0;3.5;1.15;-15.15;26.516881415430436
24.5;5.0;0.75;-13.05;29.830605089404404
20.0;3.5;0.75;-13.05;25.386315211152642
30.5;3.5;0.75;-13.05;34.043575017909035
21.5;8.0;0.75;-13.05;29.55782468315285
30.5;3.5;0.75;-13.05;34.043575017909035
21.5;8.0;1.55;-11.95;28.213560569343247
21.5;8.0;1.55;-11.95;28.213560569343247
23.0;8.0;1.55;-11.95;29.293429297369745
26.0;5.0;1.55;-11.95;29.750714277139632
26.0;5.0;1.55;-11.95;29.750714277139632
32.0;8.0;1.2;-9.05;35.20429661277158
21.5;8.0;1.2;-9.05;26.510233872978187
23.0;5.0;1.2;-9.05;25.935352320722387
21.5;8.0;1.2;-9.05;26.510233872978187
20.0;3.5;1.2;-9.05;22.60403725001355
32.0;8.0;1.65;-6.3;33.55014903096557
21.5;5.0;1.65;-6.3;22.841026684455322
26.0;5.0;1.65;-6.3;26.844226567364537
23.0;8.0;1.65;-6.3;25.696546460565475
21.5;8.0;1.65;-6.3;24.464515118841003
30.5;3.5;1.2;-3.7;30.17167545894659
24.5;8.0;1.2;-3.7;26.0725909721301
21.5;6.5;1.2;-3.7;22.718494668441394
21.5;8.0;1.2;-3.7;23.430322234233145
30.5;3.5;1.2;-3.7;30.17167545894659
23.0;6.5;1.85;-2.25;22.888534247522273
24.5;8.0;1.85;-2.25;24.86131533125309
24.5;8.0;1.85;-2.25;24.86131533125309
2.0;12.5;1.85;-2.25;14.750762692145786
24.5;8.0;1.85;-2.25;24.86131533125309
0.5;-3.25;1.71;1.81;5.2026627797696055
24.5;8.0;1.71;1.81;23.615676996436076
24.5;5.0;1.71;1.81;23.012175038444322
0.5;2.0;1.71;1.81;1.2248265183282079
0.5;2.0;1.71;1.81;1.2248265183282079
2.0;8.0;2.02;7.45;0.5503635162326804
0.5;8.0;2.02;7.45;1.6164467204334325
21.5;8.0;2.02;7.45;19.487762826964005
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;11.0;2.02;7.45;3.550056337581138
15.5;3.5;2.49;7.6;13.640751445576596
0.5;3.5;2.49;7.6;4.557422517169107
2.0;5.0;2.49;7.6;2.6457702092207476
15.5;8.0;2.49;7.6;13.016147663575424
21.5;3.5;2.49;7.6;19.44711032518713
0.5;11.0;1.52;9.32;1.9654007224991037
0.5;11.0;1.52;9.32;1.9654007224991037
0.5;11.0;1.52;9.32;1.9654007224991037
15.5;3.5;1.52;9.32;15.1430776264272
0.5;11.0;1.52;9.32;1.9654007224991037
21.5;8.0;0.78;10.94;20.927541661647695
9.5;5.0;0.78;10.94;10.550924130141397
32.0;3.5;0.78;10.94;32.09426740089264
24.5;8.0;0.78;10.94;23.90150622868776
0.5;12.5;0.78;10.94;1.5849290204927164
2.0;8.0;1.39;6.61;1.5179591562357662
2.0;2.0;1.39;6.61;4.6501827921061345
24.5;5.0;1.39;6.61;23.166013899676393
0.5;6.5;1.39;6.61;0.8967719888578144
27.5;3.5;1.39;6.61;26.294565978543933
0.5;8.0;4.51;7.63;4.027033647736259
0.5;8.0;4.51;7.63;4.027033647736259
9.5;5.0;4.51;7.63;5.640655990219577
9.5;5.0;4.51;7.63;5.640655990219577
15.5;8.0;4.51;7.63;10.996226625529323
9.5;5.0;6.0;7.88;4.532593076815963
9.5;5.0;6.0;7.88;4.532593076815963
9.5;5.0;6.0;7.88;4.532593076815963
9.5;5.0;6.0;7.88;4.532593076815963
15.5;8.0;6.0;7.88;9.500757864507442
9.5;5.0;9.08;7.24;2.279034883453959
9.5;5.0;9.08;7.24;2.279034883453959
9.5;5.0;9.08;7.24;2.279034883453959
9.5;5.0;9.08;7.24;2.279034883453959
15.5;8.0;9.08;7.24;6.4648279172766845
15.5;8.0;10.62;3.87;6.393066556825449
15.5;8.0;10.62;3.87;6.393066556825449
11.0;3.5;10.62;3.87;0.5303772242470454
12.5;6.5;10.62;3.87;3.2328470424689137
11.0;3.5;10.62;3.87;0.5303772242470454
11.0;3.5;10.99;7.19;3.690013550110623
15.5;8.0;10.99;7.19;4.582161062206347
12.5;3.5;10.99;7.19;3.987003887632918
8.0;3.5;10.99;7.19;4.749336795806337
9.5;5.0;10.99;7.19;2.648811054039152
9.5;5.0;11.76;7.76;3.5672398293358407
9.5;5.0;11.76;7.76;3.5672398293358407
11.0;3.5;11.76;7.76;4.327262414044242
9.5;5.0;11.76;7.76;3.5672398293358407
9.5;5.0;11.76;7.76;3.5672398293358407
9.5;5.0;11.39;5.0;1.8900000000000006
15.5;8.0;11.39;5.0;5.088428048032123
11.0;3.5;11.39;5.0;1.549870962370739
11.0;6.5;11.39;5.0;1.549870962370739
9.5;5.0;11.39;5.0;1.8900000000000006
9.5;5.0;12.95;5.25;3.459046111285595
9.5;5.0;12.95;5.25;3.459046111285595
0.5;11.0;12.95;5.25;13.713679302069156
15.5;8.0;12.95;5.25;3.7503333185198358
9.5;5.0;12.95;5.25;3.459046111285595
12.5;8.0;13.46;7.85;0.9716480844420997
12.5;8.0;13.46;7.85;0.9716480844420997
9.5;5.0;13.46;7.85;4.8789445579961255
5.0;3.5;13.46;7.85;9.512838693050567
12.5;8.0;13.46;7.85;0.9716480844420997
11.0;3.5;14.98;7.55;5.678283191247158
12.5;8.0;14.98;7.55;2.5204959829366924
12.5;8.0;14.98;7.55;2.5204959829366924
12.5;8.0;14.98;7.55;2.5204959829366924
15.5;8.0;14.98;7.55;0.6876772498781675
0.5;-3.25;21.45;6.62;23.158570767644534
23.0;6.5;21.45;6.62;1.5546382215808288
26.0;6.5;21.45;6.62;4.551582142508251
23.0;8.0;21.45;6.62;2.0753072061745463
0.5;-3.25;21.45;6.62;23.158570767644534
0.5;-3.25;21.84;5.16;22.937386511980826
17.0;3.5;21.84;5.16;5.116756785308444
0.5;-3.25;21.84;5.16;22.937386511980826
0.5;-4.75;21.84;5.16;23.528784498991868
26.0;6.5;21.84;5.16;4.370491963154721
0.5;-3.25;22.38;3.94;23.03107683109932
-7.0;-10.75;22.38;3.94;32.84783858947191
17.0;3.5;22.38;3.94;5.397962578603152
0.5;-3.25;22.38;3.94;23.03107683109932
0.5;-3.25;22.38;3.94;23.03107683109932
-1.0;-9.25;22.3;6.36;28.04571446763302
26.0;6.5;22.3;6.36;3.702647701307808
21.5;3.5;22.3;6.36;2.969781136716981
26.0;6.5;22.3;6.36;3.702647701307808
0.5;-3.25;22.3;6.36;23.82419148680601
2.0;11.0;28.12;7.57;26.34424605108296
0.5;-4.75;28.12;7.57;30.243128145084462
0.5;-3.25;28.12;7.57;29.66372869347345
-1.0;-9.25;28.12;7.57;33.628660395561404
2.0;-18.25;28.12;7.57;36.72773883592618
0.5;-3.25;31.78;7.62;33.1148803410189
11.0;3.5;31.78;7.62;21.18449432957983
0.5;-3.25;31.78;7.62;33.1148803410189
0.5;-3.25;31.78;7.62;33.1148803410189
0.5;-4.75;31.78;7.62;33.63711194499314
0.5;-3.25;32.16;7.08;33.302620017049705
0.5;-3.25;32.16;7.08;33.302620017049705
0.5;-3.25;32.16;7.08;33.302620017049705
0.5;-3.25;32.16;7.08;33.302620017049705
0.5;-3.25;32.16;7.08;33.302620017049705
0.5;-3.25;32.68;3.48;32.87621176473956
32.0;3.5;32.68;3.48;0.6802940540677976
-7.0;-10.75;32.68;3.48;42.1544220693393
0.5;-4.75;32.68;3.48;33.21573873933861
0.5;-3.25;32.68;3.48;32.87621176473956
26.0;6.5;23.5;4.22;3.3835484332280514
26.0;6.5;23.5;4.22;3.3835484332280514
26.0;6.5;23.5;4.22;3.3835484332280514
26.0;6.5;23.5;4.22;3.3835484332280514
26.0;6.5;23.5;4.22;3.3835484332280514
0.5;-4.75;25.23;7.78;27.723163600137703
-1.0;-9.25;25.23;7.78;31.273531939964826
0.5;-3.25;25.23;7.78;27.078290197130247
2.0;-15.25;25.23;7.78;32.71106540606711
0.5;-4.75;25.23;7.78;27.723163600137703
