# estimated x; estimated y; actual x; actual y; error distance
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-19.0;-9.25;-23.9;-9.65;4.916299421312741
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-23.0;-9.75;-23.0;-10.55;0.8000000000000007
-17.5;-9.25;-23.0;-10.55;5.651548460377917
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-20.5;-9.25;-19.65;-10.7;1.680773631397161
-20.0;-9.75;-17.35;-11.2;3.0207614933986418
-17.5;-9.25;-17.35;-11.2;1.9557607215607937
-15.5;-10.25;-17.35;-11.2;2.079663434308543
-20.5;-9.25;-17.35;-11.2;3.704726710568539
-16.0;-9.25;-17.35;-11.2;2.3717082451262845
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-16.0;-9.25;-15.5;-9.6;0.6103277807866849
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
-22.0;-9.25;-15.5;-9.6;6.509416256470314
-17.5;-9.25;-12.9;-10.5;4.766812352086035
-19.0;-9.25;-12.9;-10.5;6.226756780218736
-14.5;-9.25;-12.9;-10.5;2.030394050424695
-17.5;-9.25;-12.9;-10.5;4.766812352086035
-14.5;-9.25;-12.9;-10.5;2.030394050424695
-16.0;-9.25;-10.55;-9.9;5.4886246000250365
-17.5;-9.25;-10.55;-9.9;6.980329505116502
-16.0;-9.25;-10.55;-9.9;5.4886246000250365
-14.0;-10.25;-10.55;-9.9;3.4677081768799396
-14.5;-9.25;-10.55;-9.9;4.003123780249618
-16.0;-9.25;-9.2;-10.75;6.963476143421475
-16.0;-9.25;-9.2;-10.75;6.963476143421475
-13.0;-9.25;-9.2;-10.75;4.0853396431631
-16.0;-9.25;-9.2;-10.75;6.963476143421475
-14.5;-9.25;-9.2;-10.75;5.508175741568166
-13.0;-9.25;-6.35;-10.2;6.7175144212722016
-14.5;-9.25;-6.35;-10.2;8.205181289892382
-16.0;-9.25;-6.35;-10.2;9.696648905678703
-12.5;-10.25;-6.35;-10.2;6.150203248673982
-14.5;-9.25;-6.35;-10.2;8.205181289892382
-10.0;-9.25;-4.1;-9.9;5.935697094697471
-12.5;-10.25;-4.1;-9.9;8.40728850462502
-13.0;-9.25;-4.1;-9.9;8.92370438775288
-14.5;-9.25;-4.1;-9.9;10.420292702222909
-14.5;-9.25;-4.1;-9.9;10.420292702222909
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-13.0;-9.25;-2.05;-11.1;11.105178971993201
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-16.0;-9.25;-2.05;-11.1;14.072135587749287
-13.0;-9.25;-2.05;-11.1;11.105178971993201
-16.0;-9.25;-0.95;-9.95;15.066270275021619
-14.0;-10.25;-0.95;-9.95;13.053447820403619
-8.5;-9.25;-0.95;-9.95;7.582380892569299
-16.0;-9.25;-0.95;-9.95;15.066270275021619
-13.5;-9.75;-0.95;-9.95;12.55159352432989
-16.0;-9.25;0.85;-18.55;19.246103501748088
-16.0;-9.25;0.85;-18.55;19.246103501748088
-14.5;-9.25;0.85;-18.55;17.9474928611213
-14.5;-9.25;0.85;-18.55;17.9474928611213
-5.5;-9.25;0.85;-18.55;11.261105629555209
-13.0;-9.25;1.15;-15.15;15.330769713227056
-13.0;-9.25;1.15;-15.15;15.330769713227056
-13.0;-9.25;1.15;-15.15;15.330769713227056
-13.0;-9.25;1.15;-15.15;15.330769713227056
-13.0;-9.25;1.15;-15.15;15.330769713227056
-17.5;-9.25;0.75;-13.05;18.641418937409245
-8.5;-9.25;0.75;-13.05;10.000124999218759
-14.5;-9.25;0.75;-13.05;15.71631318089583
-14.5;-9.25;0.75;-13.05;15.71631318089583
-14.5;-9.25;0.75;-13.05;15.71631318089583
-8.5;-9.25;1.55;-11.95;10.40636824257147
-13.0;-9.25;1.55;-11.95;14.798395183262272
-7.0;-9.25;1.55;-11.95;8.966186480327075
-5.5;-9.25;1.55;-11.95;7.549337719296972
-11.5;-9.25;1.55;-11.95;13.326383605464763
-16.0;-9.25;1.2;-9.05;17.201162751395614
-16.0;-9.25;1.2;-9.05;17.201162751395614
-5.5;-9.25;1.2;-9.05;6.702984409947557
-14.5;-9.25;1.2;-9.05;15.701273833673495
-14.5;-9.25;1.2;-9.05;15.701273833673495
-16.0;-9.25;1.65;-6.3;17.894831656095565
-2.5;-12.25;1.65;-6.3;7.254309064273455
-16.0;-9.25;1.65;-6.3;17.894831656095565
-8.5;-9.25;1.65;-6.3;10.570004730367911
-11.0;-10.25;1.65;-6.3;13.252358280698571
-11.5;-9.25;1.2;-3.7;13.859743864877156
-13.0;-9.25;1.2;-3.7;15.246065066108041
-10.0;-9.25;1.2;-3.7;12.499699996399913
-8.5;-9.25;1.2;-3.7;11.175531307280204
-13.0;-9.25;1.2;-3.7;15.246065066108041
-14.5;-9.25;1.85;-2.25;17.78545754261048
-8.5;-9.25;1.85;-2.25;12.4948989591753
-10.0;-9.25;1.85;-2.25;13.763084683311368
-10.0;-9.25;1.85;-2.25;13.763084683311368
-13.0;-9.25;1.85;-2.25;16.417140433096137
-7.0;-2.0;1.71;1.81;9.506850161856976
-4.0;-2.0;1.71;1.81;6.864415488590416
0.5;11.0;1.71;1.81;9.269314969295195
1.0;12.0;1.71;1.81;10.214705086295933
1.0;12.0;1.71;1.81;10.214705086295933
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
23.0;8.0;2.49;7.6;20.51390016549754
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
-3.0;4.75;1.52;9.32;6.42769787715633
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;0.78;10.94;1.0825894882179492
1.0;12.0;0.78;10.94;1.0825894882179492
1.0;12.0;0.78;10.94;1.0825894882179492
1.0;12.0;0.78;10.94;1.0825894882179492
1.0;12.0;0.78;10.94;1.0825894882179492
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;9.08;7.24;9.377846234610589
1.0;12.0;9.08;7.24;9.377846234610589
1.0;12.0;9.08;7.24;9.377846234610589
1.0;12.0;9.08;7.24;9.377846234610589
1.0;12.0;9.08;7.24;9.377846234610589
7.0;11.0;10.62;3.87;7.996330408381084
1.0;12.0;10.62;3.87;12.595288801770286
1.0;12.0;10.62;3.87;12.595288801770286
