# estimated x; estimated y; actual x; actual y; error distance
-17.5;-9.25;-23.9;-9.65;6.412487816752558
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-17.0;-9.75;-23.9;-9.65;6.9007245996344455
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-23.0;-9.75;-23.0;-10.55;0.8000000000000007
-19.0;-9.25;-23.0;-10.55;4.205948168962618
-19.5;-9.25;-19.65;-10.7;1.4577379737113243
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-16.0;-9.25;-17.35;-11.2;2.3717082451262845
-22.0;-9.25;-17.35;-11.2;5.042320894191482
-22.0;-9.25;-17.35;-11.2;5.042320894191482
-13.0;-9.25;-17.35;-11.2;4.767074574621212
-16.5;-9.75;-17.35;-11.2;1.680773631397161
-17.5;-9.25;-15.5;-9.6;2.0303940504246953
-20.5;-9.25;-15.5;-9.6;5.012235030403104
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-22.0;-9.25;-15.5;-9.6;6.509416256470314
-22.0;-9.25;-15.5;-9.6;6.509416256470314
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-16.5;-9.75;-12.9;-10.5;3.6772952016393785
-19.0;-9.25;-12.9;-10.5;6.226756780218736
-17.5;-9.25;-12.9;-10.5;4.766812352086035
-19.0;-9.25;-12.9;-10.5;6.226756780218736
-14.0;-10.25;-10.55;-9.9;3.4677081768799396
-19.0;-9.25;-10.55;-9.9;8.474963126763443
-22.0;-9.25;-10.55;-9.9;11.468434941176586
-13.0;-9.25;-10.55;-9.9;2.5347583711273147
-17.5;-9.25;-10.55;-9.9;6.980329505116502
-13.0;-9.25;-9.2;-10.75;4.0853396431631
-17.5;-9.25;-9.2;-10.75;8.434453153583819
-13.0;-9.25;-9.2;-10.75;4.0853396431631
-16.5;-9.25;-9.2;-10.75;7.452516353554684
-15.0;-9.25;-9.2;-10.75;5.990826320300064
-11.5;-9.25;-6.35;-10.2;5.236888389110465
-10.0;-9.25;-6.35;-10.2;3.7716044331292222
-10.5;-9.75;-6.35;-10.2;4.17432629294836
-13.0;-9.25;-6.35;-10.2;6.7175144212722016
-13.0;-9.25;-6.35;-10.2;6.7175144212722016
-13.0;-9.25;-4.1;-9.9;8.92370438775288
-9.5;-9.75;-4.1;-9.9;5.402082931610733
-14.5;-9.25;-4.1;-9.9;10.420292702222909
-8.0;-9.75;-4.1;-9.9;3.902883549377307
-13.0;-9.25;-4.1;-9.9;8.92370438775288
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-11.5;-9.25;-2.05;-11.1;9.629382119326245
-17.0;-9.25;-2.05;-11.1;15.06403000528079
-11.5;-9.25;-0.95;-9.95;10.57319724586655
-11.5;-9.25;-0.95;-9.95;10.57319724586655
-17.5;-9.25;-0.95;-9.95;16.564797010528082
-11.5;-9.25;-0.95;-9.95;10.57319724586655
-11.5;-9.25;-0.95;-9.95;10.57319724586655
-10.5;-9.75;0.85;-18.55;14.36184180389131
-10.5;-9.75;0.85;-18.55;14.36184180389131
-13.0;-9.25;0.85;-18.55;16.68270062070287
-9.0;-9.75;0.85;-18.55;13.208425341425071
-13.0;-9.25;0.85;-18.55;16.68270062070287
-10.5;-9.75;1.15;-15.15;12.840658082824259
-10.0;-9.25;1.15;-15.15;12.614773085553303
-10.0;-9.25;1.15;-15.15;12.614773085553303
-11.5;-9.25;1.15;-15.15;13.958241293228886
-11.5;-9.25;1.15;-15.15;13.958241293228886
-11.5;-9.25;0.75;-13.05;12.825852798157321
-9.0;-9.75;0.75;-13.05;10.293323078578657
-11.5;-9.25;0.75;-13.05;12.825852798157321
-8.5;-9.25;0.75;-13.05;10.000124999218759
-8.5;-9.25;0.75;-13.05;10.000124999218759
-7.5;-9.75;1.55;-11.95;9.313565375300698
-8.5;-9.25;1.55;-11.95;10.40636824257147
-7.5;-9.75;1.55;-11.95;9.313565375300698
-8.5;-9.25;1.55;-11.95;10.40636824257147
-6.0;-9.75;1.55;-11.95;7.864000254323495
-13.0;-9.25;1.2;-9.05;14.201408380861384
-7.0;-9.25;1.2;-9.05;8.202438661763951
-10.0;-9.25;1.2;-9.05;11.201785571952357
-8.5;-9.25;1.2;-9.05;9.702061636580135
-10.5;-10.25;1.2;-9.05;11.761377470347595
1.0;-17.75;1.65;-6.3;11.468434941176586
-17.5;-9.25;1.65;-6.3;19.375887076466974
-8.5;-12.25;1.65;-6.3;11.765415419780128
-14.0;-9.25;1.65;-6.3;15.925608308632986
-16.0;-9.25;1.65;-6.3;17.894831656095565
-10.0;-9.25;1.2;-3.7;12.499699996399913
-14.5;-9.25;1.2;-3.7;16.652101969421157
-13.0;-9.25;1.2;-3.7;15.246065066108041
-13.5;-9.25;1.2;-3.7;15.712813242701003
-11.5;-9.25;1.2;-3.7;13.859743864877156
-12.5;-9.75;1.85;-2.25;16.191741722248413
-13.0;-9.25;1.85;-2.25;16.417140433096137
-11.5;-9.25;1.85;-2.25;15.073901286660995
-10.0;-9.25;1.85;-2.25;13.763084683311368
-11.5;-9.25;1.85;-2.25;15.073901286660995
-11.0;-2.0;1.71;1.81;13.268767840308309
21.5;6.5;1.71;1.81;20.338146424883462
1.0;12.0;1.71;1.81;10.214705086295933
1.0;12.0;1.71;1.81;10.214705086295933
1.0;12.0;1.71;1.81;10.214705086295933
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.02;7.45;4.66292826451362
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;2.49;7.6;4.645438622993528
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;1.52;9.32;2.7299816849202485
1.0;12.0;0.78;10.94;1.0825894882179492
22.5;7.5;0.78;10.94;21.990725317733382
24.5;8.0;0.78;10.94;23.90150622868776
0.5;11.0;0.78;10.94;0.2863564212655272
1.0;12.0;0.78;10.94;1.0825894882179492
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;1.39;6.61;5.40409104290444
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;4.51;7.63;5.605086975239546
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
1.0;12.0;6.0;7.88;6.478765314471578
2.0;-7.75;9.08;7.24;16.577891904581836
1.0;12.0;9.08;7.24;9.377846234610589
1.0;12.0;9.08;7.24;9.377846234610589
0.5;2.0;9.08;7.24;10.053556584612233
1.0;12.0;9.08;7.24;9.377846234610589
18.5;8.0;10.62;3.87;8.896701635999715
3.0;10.5;10.62;3.87;10.10055939044962
7.0;11.0;10.62;3.87;7.996330408381084
1.0;12.0;10.62;3.87;12.595288801770286
1.0;12.0;10.62;3.87;12.595288801770286
1.0;12.0;10.99;7.19;11.087659807191056
1.0;12.0;10.99;7.19;11.087659807191056
1.0;12.0;10.99;7.19;11.087659807191056
1.0;12.0;10.99;7.19;11.087659807191056
1.0;12.0;10.99;7.19;11.087659807191056
1.0;12.0;11.76;7.76;11.565258319639904
1.0;12.0;11.76;7.76;11.565258319639904
1.0;12.0;11.76;7.76;11.565258319639904
1.0;12.0;11.76;7.76;11.565258319639904
1.5;12.0;11.76;7.76;11.10158547235484
1.0;12.0;11.39;5.0;12.528052522239841
1.0;12.0;11.39;5.0;12.528052522239841
1.0;12.0;11.39;5.0;12.528052522239841
1.0;12.0;11.39;5.0;12.528052522239841
1.0;12.0;11.39;5.0;12.528052522239841
1.5;12.0;12.95;5.25;13.291538661870566
1.5;12.0;12.95;5.25;13.291538661870566
1.0;12.0;12.95;5.25;13.724612927146616
1.0;12.0;12.95;5.25;13.724612927146616
1.0;12.0;12.95;5.25;13.724612927146616
7.5;11.0;13.46;7.85;6.741223924481371
1.5;12.0;13.46;7.85;12.659545805438677
1.5;12.0;13.46;7.85;12.659545805438677
7.0;11.0;13.46;7.85;7.187078683303809
7.0;11.0;13.46;7.85;7.187078683303809
1.5;12.0;14.98;7.55;14.19552394242636
1.5;12.0;14.98;7.55;14.19552394242636
1.5;12.0;14.98;7.55;14.19552394242636
14.0;9.5;14.98;7.55;2.1824069281414964
1.0;12.0;14.98;7.55;14.67115878177317
24.5;8.0;21.45;6.62;3.347670832086094
16.5;5.0;21.45;6.62;5.208349066642903
8.5;-3.5;21.45;6.62;16.435233493930046
15.5;8.0;21.45;6.62;6.107937458749884
17.0;8.0;21.45;6.62;4.6590664300909035
1.5;-6.75;21.84;5.16;23.570398808675257
18.5;8.0;21.84;5.16;4.384198900597463
18.5;8.0;21.84;5.16;4.384198900597463
1.5;-6.75;21.84;5.16;23.570398808675257
18.5;8.0;21.84;5.16;4.384198900597463
19.5;8.0;22.38;3.94;4.977750495956984
18.5;8.0;22.38;3.94;5.615870368874267
24.5;8.0;22.38;3.94;4.580174669158373
0.5;-9.75;22.38;3.94;25.809891514688704
24.5;8.0;22.38;3.94;4.580174669158373
16.5;5.0;22.3;6.36;5.957314831364884
17.0;8.0;22.3;6.36;5.547936553350264
15.5;8.0;22.3;6.36;6.994969621092004
10.5;3.25;22.3;6.36;12.202954560269411
7.0;4.75;22.3;6.36;15.384475941675753
1.5;-12.75;28.12;7.57;33.48920423061737
17.0;8.0;28.12;7.57;11.128310743324883
0.0;-10.75;28.12;7.57;33.56123954802623
15.5;8.0;28.12;7.57;12.627323548559291
11.5;3.25;28.12;7.57;17.172268341718866
-2.0;-11.25;31.78;7.62;38.69322033638451
21.5;8.0;31.78;7.62;10.287020948748964
30.5;8.0;31.78;7.62;1.3352153384379626
21.5;8.0;31.78;7.62;10.287020948748964
21.5;8.0;31.78;7.62;10.287020948748964
23.0;8.0;32.16;7.08;9.20608494420945
20.0;8.0;32.16;7.08;12.19475297002772
23.0;8.0;32.16;7.08;9.20608494420945
21.0;7.5;32.16;7.08;11.167900429355551
27.5;8.0;32.16;7.08;4.749947368129458
23.0;8.0;32.68;3.48;10.683295371747427
22.0;7.5;32.68;3.48;11.411520494658019
30.5;8.0;32.68;3.48;5.018246705772843
23.0;8.0;32.68;3.48;10.683295371747427
26.0;8.0;32.68;3.48;8.065531600582815
24.5;6.5;23.5;4.22;2.48965861113527
21.5;8.0;23.5;4.22;4.276493891028023
20.0;8.0;23.5;4.22;5.151543458032748
17.0;8.0;23.5;4.22;7.5192020853279375
6.5;11.0;23.5;4.22;18.302141951148776
21.5;8.0;25.23;7.78;3.7364823029154044
1.5;-8.25;25.23;7.78;28.63693070145612
31.5;4.0;25.23;7.78;7.321290869785191
1.5;-6.75;25.23;7.78;27.82505705295139
1.5;-11.25;25.23;7.78;30.417984811620904
