# estimated x; estimated y; actual x; actual y; error distance
-20.5;-9.25;-23.9;-9.65;3.4234485537247363
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-20.5;-9.25;-23.9;-9.65;3.4234485537247363
-23.5;-9.25;-23.9;-9.65;0.5656854249492372
-17.5;-9.25;-23.9;-9.65;6.412487816752558
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-23.5;-9.25;-19.65;-10.7;4.114000486144843
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-19.0;-9.25;-17.35;-11.2;2.554407954888959
-22.0;-9.25;-17.35;-11.2;5.042320894191482
-19.0;-9.25;-17.35;-11.2;2.554407954888959
-16.0;-9.25;-17.35;-11.2;2.3717082451262845
-17.5;-9.25;-17.35;-11.2;1.9557607215607937
-16.0;-9.25;-15.5;-9.6;0.6103277807866849
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-20.5;-9.25;-15.5;-9.6;5.012235030403104
-23.5;-9.25;-15.5;-9.6;8.00765258986677
-14.5;-9.25;-12.9;-10.5;2.030394050424695
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-19.0;-9.25;-12.9;-10.5;6.226756780218736
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-19.0;-9.25;-12.9;-10.5;6.226756780218736
-13.0;-10.75;-10.55;-9.9;2.593260495977987
-16.0;-9.25;-10.55;-9.9;5.4886246000250365
-17.5;-9.25;-10.55;-9.9;6.980329505116502
-13.0;-9.25;-10.55;-9.9;2.5347583711273147
-17.5;-9.25;-10.55;-9.9;6.980329505116502
-14.5;-9.25;-9.2;-10.75;5.508175741568166
-16.0;-9.25;-9.2;-10.75;6.963476143421475
-14.5;-9.25;-9.2;-10.75;5.508175741568166
-16.0;-9.25;-9.2;-10.75;6.963476143421475
-16.0;-9.25;-9.2;-10.75;6.963476143421475
-11.5;-9.25;-6.35;-10.2;5.236888389110465
-11.5;-9.25;-6.35;-10.2;5.236888389110465
-10.0;-9.25;-6.35;-10.2;3.7716044331292222
-14.5;-9.25;-6.35;-10.2;8.205181289892382
-13.0;-9.25;-6.35;-10.2;6.7175144212722016
-14.5;-9.25;-4.1;-9.9;10.420292702222909
-7.0;-9.25;-4.1;-9.9;2.9719522203427164
-17.5;-9.25;-4.1;-9.9;13.415755662652776
-8.5;-9.25;-4.1;-9.9;4.447752241301218
-13.0;-9.25;-4.1;-9.9;8.92370438775288
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-14.5;-9.25;-2.05;-11.1;12.586699329053664
-10.0;-9.25;-2.05;-11.1;8.162413858657255
-16.0;-9.25;-2.05;-11.1;14.072135587749287
-11.5;-9.25;-0.95;-9.95;10.57319724586655
-13.0;-9.25;-0.95;-9.95;12.070314826051558
-16.0;-9.25;-0.95;-9.95;15.066270275021619
-11.5;-9.25;-0.95;-9.95;10.57319724586655
-16.0;-9.25;-0.95;-9.95;15.066270275021619
-14.5;-9.25;0.85;-18.55;17.9474928611213
-14.5;-9.25;0.85;-18.55;17.9474928611213
-16.0;-9.25;0.85;-18.55;19.246103501748088
-14.5;-9.25;0.85;-18.55;17.9474928611213
-16.0;-9.25;0.85;-18.55;19.246103501748088
-13.0;-9.25;1.15;-15.15;15.330769713227056
-13.0;-9.25;1.15;-15.15;15.330769713227056
-11.5;-9.25;1.15;-15.15;13.958241293228886
-13.0;-9.25;1.15;-15.15;15.330769713227056
-14.5;-9.25;1.15;-15.15;16.725205529379902
-11.5;-9.25;0.75;-13.05;12.825852798157321
-10.0;-10.75;0.75;-13.05;10.993293410075072
-13.0;-9.25;0.75;-13.05;14.265430242372643
-8.5;-9.25;0.75;-13.05;10.000124999218759
-8.5;-9.25;0.75;-13.05;10.000124999218759
-13.0;-9.25;1.55;-11.95;14.798395183262272
-11.5;-9.25;1.55;-11.95;13.326383605464763
-11.5;-9.25;1.55;-11.95;13.326383605464763
-11.5;-9.25;1.55;-11.95;13.326383605464763
0.5;-18.25;1.55;-11.95;6.386900656813132
-16.0;-9.25;1.2;-9.05;17.201162751395614
-5.5;-9.25;1.2;-9.05;6.702984409947557
-14.5;-9.25;1.2;-9.05;15.701273833673495
2.0;-18.25;1.2;-9.05;9.234717104492155
-11.5;-10.75;1.2;-9.05;12.81327436684316
2.0;-18.25;1.65;-6.3;11.955124424279322
-16.0;-9.25;1.65;-6.3;17.894831656095565
-11.5;-9.25;1.65;-6.3;13.476831971943554
-13.0;-9.25;1.65;-6.3;14.944062366036887
-16.0;-9.25;1.65;-6.3;17.894831656095565
-11.5;-9.25;1.2;-3.7;13.859743864877156
-16.0;-9.25;1.2;-3.7;18.07325371923938
-13.0;-9.25;1.2;-3.7;15.246065066108041
-11.5;-9.25;1.2;-3.7;13.859743864877156
-13.0;-9.25;1.2;-3.7;15.246065066108041
-11.5;-9.25;1.85;-2.25;15.073901286660995
-14.5;-9.25;1.85;-2.25;17.78545754261048
-13.0;-9.25;1.85;-2.25;16.417140433096137
-13.0;-9.25;1.85;-2.25;16.417140433096137
-8.5;-9.25;1.85;-2.25;12.4948989591753
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;0.78;10.94;1.5849290204927164
21.5;8.0;0.78;10.94;20.927541661647695
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
2.0;-7.75;9.08;7.24;16.577891904581836
0.5;12.5;9.08;7.24;10.063995230523512
0.5;12.5;9.08;7.24;10.063995230523512
0.5;12.5;9.08;7.24;10.063995230523512
0.5;12.5;9.08;7.24;10.063995230523512
18.5;8.0;10.62;3.87;8.896701635999715
2.0;12.5;10.62;3.87;12.197594025052645
20.0;8.0;10.62;3.87;10.248965801484557
0.5;12.5;10.62;3.87;13.300048872090658
0.5;12.5;10.62;3.87;13.300048872090658
2.0;12.5;10.99;7.19;10.441082319376665
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.39;5.0;13.222787149462855
0.5;12.5;11.39;5.0;13.222787149462855
0.5;12.5;11.39;5.0;13.222787149462855
2.0;12.5;11.39;5.0;12.017574630515094
0.5;12.5;11.39;5.0;13.222787149462855
2.0;12.5;12.95;5.25;13.132593041741604
2.0;12.5;12.95;5.25;13.132593041741604
0.5;12.5;12.95;5.25;14.407116297163704
2.0;12.5;12.95;5.25;13.132593041741604
2.0;12.5;12.95;5.25;13.132593041741604
0.5;12.5;13.46;7.85;13.768954208653613
2.0;12.5;13.46;7.85;12.367461340145763
2.0;12.5;13.46;7.85;12.367461340145763
2.0;12.5;13.46;7.85;12.367461340145763
0.5;12.5;13.46;7.85;13.768954208653613
0.5;12.5;14.98;7.55;15.302708910516465
0.5;12.5;14.98;7.55;15.302708910516465
0.5;12.5;14.98;7.55;15.302708910516465
21.5;8.0;14.98;7.55;6.535510691598629
0.5;12.5;14.98;7.55;15.302708910516465
24.5;8.0;21.45;6.62;3.347670832086094
18.5;3.5;21.45;6.62;4.293821142059831
2.0;-10.75;21.45;6.62;26.077181596177144
18.5;8.0;21.45;6.62;3.256823605908062
18.5;8.0;21.45;6.62;3.256823605908062
2.0;-6.25;21.84;5.16;22.886976646119077
18.5;8.0;21.84;5.16;4.384198900597463
17.0;8.0;21.84;5.16;5.61170205909045
2.0;-7.75;21.84;5.16;23.67052386408041
18.5;8.0;21.84;5.16;4.384198900597463
20.0;8.0;22.38;3.94;4.706166167912051
18.5;8.0;22.38;3.94;5.615870368874267
23.0;8.0;22.38;3.94;4.107067080046296
2.0;-13.75;22.38;3.94;26.986672636692358
24.5;8.0;22.38;3.94;4.580174669158373
17.0;3.5;22.3;6.36;6.0224247608417665
18.5;8.0;22.3;6.36;4.138792094319308
17.0;8.0;22.3;6.36;5.547936553350264
18.5;8.0;22.3;6.36;4.138792094319308
0.5;-6.25;22.3;6.36;25.18436221149942
2.0;-13.75;28.12;7.57;33.71641736602512
20.0;8.0;28.12;7.57;8.131377497078832
32.0;3.5;28.12;7.57;5.623104124947358
17.0;8.0;28.12;7.57;11.128310743324883
17.0;8.0;28.12;7.57;11.128310743324883
2.0;-12.25;31.78;7.62;35.8003533502115
24.5;8.0;31.78;7.62;7.28991083621741
32.0;8.0;31.78;7.62;0.43908996800200234
24.5;8.0;31.78;7.62;7.28991083621741
23.0;8.0;31.78;7.62;8.788219387338941
24.5;8.0;32.16;7.08;7.715050226667351
20.0;8.0;32.16;7.08;12.19475297002772
24.5;8.0;32.16;7.08;7.715050226667351
21.5;8.0;32.16;7.08;10.699626161693685
32.0;8.0;32.16;7.08;0.9338094023942995
23.0;8.0;32.68;3.48;10.683295371747427
23.0;8.0;32.68;3.48;10.683295371747427
32.0;8.0;32.68;3.48;4.570864250882977
23.0;8.0;32.68;3.48;10.683295371747427
26.0;8.0;32.68;3.48;8.065531600582815
20.0;8.0;23.5;4.22;5.151543458032748
23.0;8.0;23.5;4.22;3.8129253861044803
20.0;8.0;23.5;4.22;5.151543458032748
17.0;8.0;23.5;4.22;7.5192020853279375
0.5;12.5;23.5;4.22;24.44500767027902
18.5;8.0;25.23;7.78;6.73359487940877
0.5;12.5;25.23;7.78;25.176403635150116
30.5;3.5;25.23;7.78;6.78905737197735
0.5;12.5;25.23;7.78;25.176403635150116
2.0;-12.25;25.23;7.78;30.673014198151446
