# estimated x; estimated y; actual x; actual y; error distance
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-23.5;-9.25;-23.9;-9.65;0.5656854249492372
-23.5;-9.25;-23.9;-9.65;0.5656854249492372
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-16.0;-9.25;-23.9;-9.65;7.910120100226037
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-23.5;-9.25;-23.0;-10.55;1.3928388277184127
-16.0;-9.25;-23.0;-10.55;7.119691004531026
-23.5;-9.25;-19.65;-10.7;4.114000486144843
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-17.5;-9.25;-19.65;-10.7;2.5932604959779866
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
-22.0;-9.25;-19.65;-10.7;2.761340254296816
-20.5;-9.25;-17.35;-11.2;3.704726710568539
-17.5;-9.25;-17.35;-11.2;1.9557607215607937
-16.0;-10.75;-17.35;-11.2;1.4230249470757717
-23.5;-9.25;-17.35;-11.2;6.451743950281968
-13.0;-9.25;-17.35;-11.2;4.767074574621212
-16.0;-9.25;-15.5;-9.6;0.6103277807866849
-16.0;-9.25;-15.5;-9.6;0.6103277807866849
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-17.5;-9.25;-12.9;-10.5;4.766812352086035
-17.5;-9.25;-12.9;-10.5;4.766812352086035
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-16.0;-9.25;-12.9;-10.5;3.342528982671653
-14.5;-9.25;-10.55;-9.9;4.003123780249618
-14.5;-10.75;-10.55;-9.9;4.040420770167383
-19.0;-9.25;-10.55;-9.9;8.474963126763443
-13.0;-10.75;-10.55;-9.9;2.593260495977987
-16.0;-9.25;-10.55;-9.9;5.4886246000250365
-19.0;-9.25;-9.2;-10.75;9.914131328563286
-13.0;-9.25;-9.2;-10.75;4.0853396431631
-11.5;-9.25;-9.2;-10.75;2.745906043549197
-11.5;-9.25;-9.2;-10.75;2.745906043549197
-13.0;-9.25;-9.2;-10.75;4.0853396431631
-11.5;-9.25;-6.35;-10.2;5.236888389110465
-16.0;-9.25;-6.35;-10.2;9.696648905678703
-13.0;-9.25;-6.35;-10.2;6.7175144212722016
-11.5;-10.75;-6.35;-10.2;5.179285665031425
-14.5;-9.25;-6.35;-10.2;8.205181289892382
-10.0;-9.25;-4.1;-9.9;5.935697094697471
-10.0;-10.75;-4.1;-9.9;5.960914359391519
-10.0;-9.25;-4.1;-9.9;5.935697094697471
-11.5;-9.25;-4.1;-9.9;7.428492444635049
-13.0;-9.25;-4.1;-9.9;8.92370438775288
-13.0;-9.25;-2.05;-11.1;11.105178971993201
-13.0;-9.25;-2.05;-11.1;11.105178971993201
-13.0;-9.25;-2.05;-11.1;11.105178971993201
-16.0;-9.25;-2.05;-11.1;14.072135587749287
-13.0;-9.25;-2.05;-11.1;11.105178971993201
-19.0;-9.25;-0.95;-9.95;18.063568307507794
-13.0;-9.25;-0.95;-9.95;12.070314826051558
-10.0;-9.25;-0.95;-9.95;9.077031453068784
-16.0;-9.25;-0.95;-9.95;15.066270275021619
-13.0;-9.25;-0.95;-9.95;12.070314826051558
-11.5;-9.25;0.85;-18.55;15.460029107346466
-13.0;-9.25;0.85;-18.55;16.68270062070287
-11.5;-9.25;0.85;-18.55;15.460029107346466
-10.0;-9.25;0.85;-18.55;14.290293908803976
-8.5;-9.25;0.85;-18.55;13.18758886225985
-10.0;-9.25;1.15;-15.15;12.614773085553303
-11.5;-9.25;1.15;-15.15;13.958241293228886
-11.5;-9.25;1.15;-15.15;13.958241293228886
-10.0;-9.25;1.15;-15.15;12.614773085553303
-10.0;-9.25;1.15;-15.15;12.614773085553303
-17.5;-9.25;0.75;-13.05;18.641418937409245
-7.0;-9.25;0.75;-13.05;8.631483070712703
-11.5;-9.25;0.75;-13.05;12.825852798157321
-14.5;-9.25;0.75;-13.05;15.71631318089583
-14.5;-9.25;0.75;-13.05;15.71631318089583
-7.0;-9.25;1.55;-11.95;8.966186480327075
-8.5;-9.25;1.55;-11.95;10.40636824257147
-8.5;-9.25;1.55;-11.95;10.40636824257147
-7.0;-9.25;1.55;-11.95;8.966186480327075
-7.0;-9.25;1.55;-11.95;8.966186480327075
-10.0;-9.25;1.2;-9.05;11.201785571952357
-14.5;-9.25;1.2;-9.05;15.701273833673495
-7.0;-9.25;1.2;-9.05;8.202438661763951
-11.5;-9.25;1.2;-9.05;12.70157470552372
-10.0;-9.25;1.2;-9.05;11.201785571952357
-14.5;-9.25;1.65;-6.3;16.41721657285424
-5.5;-9.25;1.65;-6.3;7.734662242140894
-16.0;-9.25;1.65;-6.3;17.894831656095565
-7.0;-9.25;1.65;-6.3;9.139201278011116
-14.5;-9.25;1.65;-6.3;16.41721657285424
-13.0;-9.25;1.2;-3.7;15.246065066108041
-16.0;-9.25;1.2;-3.7;18.07325371923938
-13.0;-9.25;1.2;-3.7;15.246065066108041
-8.5;-9.25;1.2;-3.7;11.175531307280204
-14.5;-9.25;1.2;-3.7;16.652101969421157
-13.0;-9.25;1.85;-2.25;16.417140433096137
-11.5;-9.25;1.85;-2.25;15.073901286660995
-11.5;-9.25;1.85;-2.25;15.073901286660995
-10.0;-9.25;1.85;-2.25;13.763084683311368
-10.0;-9.25;1.85;-2.25;13.763084683311368
-16.0;-9.25;1.71;1.81;20.879839558770563
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;1.71;1.81;10.758261941410424
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
0.5;12.5;2.02;7.45;5.273793700932944
24.5;8.0;2.49;7.6;22.01363441142784
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;2.49;7.6;5.288676583040412
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;1.52;9.32;3.3395808120181787
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;1.39;6.61;5.9568615897970965
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;4.51;7.63;6.308486347769962
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;6.0;7.88;7.182924195618384
0.5;12.5;9.08;7.24;10.063995230523512
0.5;2.0;9.08;7.24;10.053556584612233
0.5;12.5;9.08;7.24;10.063995230523512
0.5;12.5;9.08;7.24;10.063995230523512
0.5;12.5;9.08;7.24;10.063995230523512
2.0;12.5;10.62;3.87;12.197594025052645
0.5;12.5;10.62;3.87;13.300048872090658
0.5;12.5;10.62;3.87;13.300048872090658
0.5;12.5;10.62;3.87;13.300048872090658
0.5;12.5;10.62;3.87;13.300048872090658
0.5;0.5;10.99;7.19;12.441712100832426
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;10.99;7.19;11.757389165967076
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
0.5;12.5;11.76;7.76;12.217004542849283
2.0;12.5;11.39;5.0;12.017574630515094
23.0;5.0;11.39;5.0;11.61
2.0;12.5;11.39;5.0;12.017574630515094
32.0;8.0;11.39;5.0;20.82719616270995
2.0;12.5;11.39;5.0;12.017574630515094
0.5;12.5;12.95;5.25;14.407116297163704
2.0;12.5;12.95;5.25;13.132593041741604
0.5;12.5;12.95;5.25;14.407116297163704
2.0;12.5;12.95;5.25;13.132593041741604
0.5;12.5;12.95;5.25;14.407116297163704
2.0;12.5;13.46;7.85;12.367461340145763
18.5;8.0;13.46;7.85;5.042231648784097
18.5;8.0;13.46;7.85;5.042231648784097
2.0;12.5;13.46;7.85;12.367461340145763
2.0;12.5;13.46;7.85;12.367461340145763
0.5;12.5;14.98;7.55;15.302708910516465
0.5;12.5;14.98;7.55;15.302708910516465
0.5;12.5;14.98;7.55;15.302708910516465
0.5;12.5;14.98;7.55;15.302708910516465
0.5;12.5;14.98;7.55;15.302708910516465
14.0;8.0;21.45;6.62;7.576734124938
23.0;8.0;21.45;6.62;2.0753072061745463
20.0;8.0;21.45;6.62;2.0017242567346774
15.5;8.0;21.45;6.62;6.107937458749884
21.5;8.0;21.45;6.62;1.380905500025255
2.0;-9.25;21.84;5.16;24.520882936794912
0.5;12.5;21.84;5.16;22.5670379093048
15.5;8.0;21.84;5.16;6.947028141586876
0.5;-7.75;21.84;5.16;24.94120486263645
0.5;12.5;21.84;5.16;22.5670379093048
17.0;8.0;22.38;3.94;6.740029673525184
18.5;8.0;22.38;3.94;5.615870368874267
2.0;12.5;22.38;3.94;22.104705381434062
2.0;-9.25;22.38;3.94;24.275924287243935
2.0;-7.75;22.38;3.94;23.494690889645682
0.5;-6.25;22.3;6.36;25.18436221149942
17.0;8.0;22.3;6.36;5.547936553350264
20.0;8.0;22.3;6.36;2.824818578245336
14.0;8.0;22.3;6.36;8.460472800027196
15.5;8.0;22.3;6.36;6.994969621092004
17.0;3.5;28.12;7.57;11.841423056372914
2.0;-9.25;28.12;7.57;31.067133759006477
0.5;-6.25;28.12;7.57;30.884572200372148
0.5;12.5;28.12;7.57;28.05653756257176
2.0;-13.75;28.12;7.57;33.71641736602512
20.0;8.0;31.78;7.62;11.786127438645826
20.0;8.0;31.78;7.62;11.786127438645826
23.0;8.0;31.78;7.62;8.788219387338941
21.5;8.0;31.78;7.62;10.287020948748964
-2.5;-10.75;31.78;7.62;38.89184104667713
21.5;8.0;32.16;7.08;10.699626161693685
21.5;8.0;32.16;7.08;10.699626161693685
21.5;8.0;32.16;7.08;10.699626161693685
20.0;8.0;32.16;7.08;12.19475297002772
23.0;8.0;32.16;7.08;9.20608494420945
32.0;8.0;32.68;3.48;4.570864250882977
32.0;3.5;32.68;3.48;0.6802940540677976
23.0;8.0;32.68;3.48;10.683295371747427
27.5;8.0;32.68;3.48;6.874794542384521
23.0;8.0;32.68;3.48;10.683295371747427
23.0;8.0;23.5;4.22;3.8129253861044803
2.0;-7.75;23.5;4.22;24.60753746314328
15.5;8.0;23.5;4.22;8.848073236586595
17.0;8.0;23.5;4.22;7.5192020853279375
21.5;8.0;23.5;4.22;4.276493891028023
-7.0;-9.25;25.23;7.78;36.45262404820811
2.0;-9.25;25.23;7.78;28.803711566393662
23.0;8.0;25.23;7.78;2.24082574065901
15.5;8.0;25.23;7.78;9.732486835336589
15.5;8.0;25.23;7.78;9.732486835336589
