# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
-22.0;-9.75;-23.9;-9.65;1.9026297590440433
-19.5;-9.25;-23.9;-9.65;4.418144406874903
-20.0;-10.25;-23.9;-9.65;3.94588393138977
-8.5;-3.5;-23.9;-9.65;16.58259629852937
-22.0;-9.75;-23.9;-9.65;1.9026297590440433
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-19.5;-9.75;-23.0;-10.55;3.5902646142032486
-20.0;-9.75;-23.0;-10.55;3.104834939252005
-19.5;-10.25;-23.0;-10.55;3.5128336140500593
-21.0;-9.25;-23.0;-10.55;2.385372088375313
-18.0;-10.75;-19.65;-10.7;1.6507574019219162
24.5;5.5;-19.65;-10.7;47.02831593837908
-18.0;-10.75;-19.65;-10.7;1.6507574019219162
-19.0;-9.75;-19.65;-10.7;1.1510864433221324
-19.0;-10.25;-19.65;-10.7;0.7905694150420933
-17.5;-10.75;-17.35;-11.2;0.4743416490252558
-15.0;-10.25;-17.35;-11.2;2.5347583711273165
-13.0;-10.25;-17.35;-11.2;4.452527372178639
-18.0;-10.75;-17.35;-11.2;0.7905694150420933
-16.5;-10.25;-17.35;-11.2;1.2747548783981966
-18.5;-10.25;-15.5;-9.6;3.0696090956341657
-16.5;-9.75;-15.5;-9.6;1.0111874208078344
-18.0;-10.75;-15.5;-9.6;2.7518175811634027
-12.0;-10.25;-15.5;-9.6;3.559845502265513
-13.5;-10.25;-15.5;-9.6;2.102974084481309
1.5;-5.0;-12.9;-10.5;15.414603465545262
-10.0;-9.75;-12.9;-10.5;2.995413160150032
-17.0;-9.25;-12.9;-10.5;4.286315434029558
-17.5;-10.25;-12.9;-10.5;4.606788469204984
-4.0;-4.0;-12.9;-10.5;11.020889256316842
-12.5;-10.25;-10.55;-9.9;1.981161275615894
-10.5;-9.75;-10.55;-9.9;0.15811388300841953
-13.0;-10.25;-10.55;-9.9;2.4748737341529154
-12.0;-9.75;-10.55;-9.9;1.4577379737113243
-12.0;-10.75;-10.55;-9.9;1.6807736313971602
3.0;-5.5;-9.2;-10.75;13.281660287780289
-8.5;-9.75;-9.2;-10.75;1.2206555615733699
-3.5;-11.75;-9.2;-10.75;5.7870545184921145
-7.0;-9.75;-9.2;-10.75;2.4166091947189137
-9.5;-9.75;-9.2;-10.75;1.0440306508910553
16.0;-2.25;-6.35;-10.2;23.721825393506293
14.5;-0.75;-6.35;-10.2;22.891592343041584
16.0;-2.25;-6.35;-10.2;23.721825393506293
-3.0;-11.75;-6.35;-10.2;3.69120576505835
-3.0;-11.75;-6.35;-10.2;3.69120576505835
14.5;-0.25;-4.1;-9.9;20.954295502354643
15.0;0.75;-4.1;-9.9;21.86852761390213
-9.0;-9.75;-4.1;-9.9;4.902295380737477
-3.0;-9.25;-4.1;-9.9;1.2776932339180638
14.5;-0.25;-4.1;-9.9;20.954295502354643
-2.0;-12.25;-2.05;-11.1;1.1510864433221342
14.0;-0.25;-2.05;-11.1;19.37330637759079
26.5;6.0;-2.05;-11.1;33.279310389489744
-3.5;-9.75;-2.05;-11.1;1.981161275615895
28.5;6.5;-2.05;-11.1;35.2570914852601
27.0;4.0;-0.95;-9.95;31.237877648777612
-4.0;-10.75;-0.95;-9.95;3.1531730050855122
9.5;-4.0;-0.95;-9.95;12.025181911305955
29.5;6.0;-0.95;-9.95;34.37448181427612
27.5;6.5;-0.95;-9.95;32.86342952279935
24.5;5.5;0.85;-18.55;33.73017936507305
26.5;6.0;0.85;-18.55;35.50528129729435
26.0;6.5;0.85;-18.55;35.49683084445709
28.5;6.5;0.85;-18.55;37.30985124601812
28.5;6.5;0.85;-18.55;37.30985124601812
24.0;5.5;1.15;-15.15;30.79845775359539
28.5;6.5;1.15;-15.15;34.88187208278821
7.5;-4.5;1.15;-15.15;12.3993951465384
1.0;-13.75;1.15;-15.15;1.4080127840328727
26.5;6.0;1.15;-15.15;33.01431507694806
28.5;6.5;0.75;-13.05;33.94502909116444
10.5;-6.0;0.75;-13.05;12.031832778093287
19.0;-0.25;0.75;-13.05;22.291309965993474
19.0;2.25;0.75;-13.05;23.814963783302296
0.0;-12.25;0.75;-13.05;1.096585609973066
29.5;5.0;1.55;-11.95;32.687994738129774
28.0;6.5;1.55;-11.95;32.24910851481014
19.0;0.25;1.55;-11.95;21.29184116040696
19.0;0.25;1.55;-11.95;21.29184116040696
29.5;5.0;1.55;-11.95;32.687994738129774
19.5;0.75;1.2;-9.05;20.75885353289049
28.0;6.5;1.2;-9.05;30.98455260286971
29.5;5.0;1.2;-9.05;31.595767121562343
29.5;6.5;1.2;-9.05;32.2907494493392
29.5;5.0;1.2;-9.05;31.595767121562343
28.0;6.0;1.65;-6.3;29.0794171193303
27.0;4.0;1.65;-6.3;27.362611351989052
24.5;6.5;1.65;-6.3;26.19088581930745
24.0;5.5;1.65;-6.3;25.273751205549207
19.5;2.75;1.65;-6.3;20.013120696183293
29.5;5.0;1.2;-3.7;29.60709374457412
29.0;6.5;1.2;-3.7;29.61215966457023
26.5;6.0;1.2;-3.7;27.095756125268032
19.5;2.25;1.2;-3.7;19.242985735067208
8.0;1.0;1.2;-3.7;8.266196223173026
19.0;8.0;1.85;-2.25;19.979614610897777
27.0;6.0;1.85;-2.25;26.468566262644448
24.5;6.5;1.85;-2.25;24.281371460442674
24.5;5.5;1.85;-2.25;23.939193804303436
24.5;6.5;1.85;-2.25;24.281371460442674
5.5;4.5;1.71;1.81;4.6476015319732396
6.0;3.5;1.71;1.81;4.610878441251732
18.0;4.0;1.71;1.81;16.43655073304615
12.5;4.0;1.71;1.81;11.010004541325129
1.0;4.0;1.71;1.81;2.3022163234587665
4.5;8.5;2.02;7.45;2.693120866207085
5.0;8.5;2.02;7.45;3.159572755927611
5.0;8.5;2.02;7.45;3.159572755927611
2.0;8.0;2.02;7.45;0.5503635162326804
