# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-16.0;-10.75;-23.9;-9.65;7.976214641043706
-16.0;-9.25;-23.9;-9.65;7.910120100226037
-20.5;-9.25;-23.9;-9.65;3.4234485537247363
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-17.5;-10.75;-19.65;-10.7;2.1505813167606553
-17.5;-10.75;-19.65;-10.7;2.1505813167606553
-20.5;-10.75;-19.65;-10.7;0.8514693182963214
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
-17.5;-10.75;-19.65;-10.7;2.1505813167606553
-19.0;-9.25;-17.35;-11.2;2.554407954888959
-23.5;-10.75;-17.35;-11.2;6.166441437328339
-19.0;-9.25;-17.35;-11.2;2.554407954888959
-16.0;-10.75;-17.35;-11.2;1.4230249470757717
-20.5;-10.75;-17.35;-11.2;3.181980515339462
-17.5;-10.75;-15.5;-9.6;2.3070543990118657
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-10.0;-10.75;-15.5;-9.6;5.618941181397079
-17.5;-10.75;-15.5;-9.6;2.3070543990118657
-10.0;-10.75;-15.5;-9.6;5.618941181397079
-13.0;-10.75;-12.9;-10.5;0.2692582403567251
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-5.5;-9.25;-10.55;-9.9;5.091659847240388
-13.0;-10.75;-10.55;-9.9;2.593260495977987
-16.0;-10.75;-10.55;-9.9;5.5158861482086445
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-8.5;-9.25;-10.55;-9.9;2.1505813167606576
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
-8.5;-9.25;-9.2;-10.75;1.6552945357246844
-8.5;-9.25;-9.2;-10.75;1.6552945357246844
-8.5;-9.25;-9.2;-10.75;1.6552945357246844
27.5;3.5;-6.35;-10.2;36.51729042522186
-7.0;-10.75;-6.35;-10.2;0.8514693182963208
-2.5;-9.25;-6.35;-10.2;3.96547601177967
-7.0;-9.25;-6.35;-10.2;1.1510864433221335
-7.0;-9.25;-6.35;-10.2;1.1510864433221335
-13.0;-10.75;-4.1;-9.9;8.940497749007044
27.5;3.5;-4.1;-9.9;34.323752708583605
27.5;3.5;-4.1;-9.9;34.323752708583605
27.5;3.5;-4.1;-9.9;34.323752708583605
-8.5;-9.25;-4.1;-9.9;4.447752241301218
27.5;8.0;-2.05;-11.1;35.185401802452105
-4.0;-10.75;-2.05;-11.1;1.981161275615895
-2.5;-10.75;-2.05;-11.1;0.5700877125495689
-2.5;-10.75;-2.05;-11.1;0.5700877125495689
-7.0;-10.75;-2.05;-11.1;4.962358310319802
-4.0;-9.25;-0.95;-9.95;3.12929704566377
27.5;3.5;-0.95;-9.95;31.469111840024972
2.0;-15.25;-0.95;-9.95;6.06568215454783
27.5;3.5;-0.95;-9.95;31.469111840024972
21.5;6.5;-0.95;-9.95;27.83172650052454
27.5;3.5;0.85;-18.55;34.58937698195791
27.5;8.0;0.85;-18.55;37.61814721646987
27.5;3.5;0.85;-18.55;34.58937698195791
27.5;8.0;0.85;-18.55;37.61814721646987
27.5;3.5;0.85;-18.55;34.58937698195791
2.0;-13.75;1.15;-15.15;1.6378339354159204
27.5;3.5;1.15;-15.15;32.282270676022776
27.5;3.5;1.15;-15.15;32.282270676022776
27.5;3.5;1.15;-15.15;32.282270676022776
-7.0;-9.25;1.15;-15.15;10.061436279180025
0.5;-4.75;0.75;-13.05;8.303764206671575
-4.0;-10.75;0.75;-13.05;5.277546778570513
27.5;8.0;0.75;-13.05;34.03916861499411
2.0;-13.75;0.75;-13.05;1.43265487818944
0.5;-12.25;0.75;-13.05;0.8381527307120111
24.5;5.0;1.55;-11.95;28.530772860194304
24.5;8.0;1.55;-11.95;30.40896249463306
24.5;5.0;1.55;-11.95;28.530772860194304
2.0;-3.25;1.55;-11.95;8.711630157438961
24.5;5.0;1.55;-11.95;28.530772860194304
24.5;8.0;1.2;-9.05;28.87200200886665
0.5;-4.75;1.2;-9.05;4.356604182158393
2.0;-6.25;1.2;-9.05;2.912043955712208
24.5;5.0;1.2;-9.05;27.208316743231286
24.5;3.5;1.2;-9.05;26.46492962393817
32.0;5.0;1.65;-6.3;32.3853747855417
27.5;8.0;1.65;-6.3;29.54170780439073
32.0;8.0;1.65;-6.3;33.55014903096557
27.5;8.0;1.65;-6.3;29.54170780439073
27.5;8.0;1.65;-6.3;29.54170780439073
27.5;8.0;1.2;-3.7;28.78506557227202
24.5;5.0;1.2;-3.7;24.871268564349506
2.0;-4.75;1.2;-3.7;1.3200378782444084
24.5;6.5;1.2;-3.7;25.434818654749634
26.0;3.5;1.2;-3.7;25.82401982651036
24.5;5.0;1.85;-2.25;23.782031031852597
0.5;-7.75;1.85;-2.25;5.6632587791835896
21.5;6.5;1.85;-2.25;21.510113900209824
32.0;8.0;1.85;-2.25;31.844701286085254
32.0;8.0;1.85;-2.25;31.844701286085254
0.5;0.5;1.71;1.81;1.7833115263464205
0.5;2.0;1.71;1.81;1.2248265183282079
0.5;3.5;1.71;1.81;2.07850908104824
0.5;3.5;1.71;1.81;2.07850908104824
0.5;0.5;1.71;1.81;1.7833115263464205
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;11.0;2.02;7.45;3.550056337581138
2.0;11.0;2.02;7.45;3.550056337581138
2.0;8.0;2.02;7.45;0.5503635162326804
2.0;11.0;2.02;7.45;3.550056337581138
2.0;11.0;2.49;7.6;3.4351273629954395
2.0;5.0;2.49;7.6;2.6457702092207476
3.5;3.5;2.49;7.6;4.222570307289152
2.0;11.0;2.49;7.6;3.4351273629954395
0.5;3.5;2.49;7.6;4.557422517169107
2.0;5.0;1.52;9.32;4.34658486630596
2.0;6.5;1.52;9.32;2.8605593858544522
2.0;9.5;1.52;9.32;0.5126402247190518
2.0;11.0;1.52;9.32;1.7472263734273241
2.0;8.0;1.52;9.32;1.4045639892863553
0.5;8.0;0.78;10.94;2.953303235362058
26.0;8.0;0.78;10.94;25.390785730260493
0.5;12.5;0.78;10.94;1.5849290204927164
0.5;9.5;0.78;10.94;1.4669696656713793
0.5;8.0;0.78;10.94;2.953303235362058
2.0;11.0;1.39;6.61;4.4321777942677345
2.0;6.5;1.39;6.61;0.6198386886924695
2.0;2.0;1.39;6.61;4.6501827921061345
2.0;11.0;1.39;6.61;4.4321777942677345
11.0;8.0;1.39;6.61;9.710005149329222
11.0;8.0;4.51;7.63;6.500538439237168
9.5;8.0;4.51;7.63;5.003698632012124
11.0;8.0;4.51;7.63;6.500538439237168
2.0;11.0;4.51;7.63;4.2020233221627885
11.0;8.0;4.51;7.63;6.500538439237168
9.5;8.0;6.0;7.88;3.502056538664103
11.0;8.0;6.0;7.88;5.001439792699698
11.0;8.0;6.0;7.88;5.001439792699698
11.0;8.0;6.0;7.88;5.001439792699698
9.5;8.0;6.0;7.88;3.502056538664103
11.0;8.0;9.08;7.24;2.064945519862449
11.0;8.0;9.08;7.24;2.064945519862449
12.5;8.0;9.08;7.24;3.503426893771297
12.5;8.0;9.08;7.24;3.503426893771297
9.5;8.0;9.08;7.24;0.8683317338436961
11.0;3.5;10.62;3.87;0.5303772242470454
11.0;3.5;10.62;3.87;0.5303772242470454
15.5;8.0;10.62;3.87;6.393066556825449
11.0;3.5;10.62;3.87;0.5303772242470454
15.5;8.0;10.62;3.87;6.393066556825449
8.0;8.0;10.99;7.19;3.0977733939073078
6.5;8.0;10.99;7.19;4.562477397204287
6.5;3.5;10.99;7.19;5.81172951882656
12.5;3.5;10.99;7.19;3.987003887632918
11.0;8.0;10.99;7.19;0.810061726043145
9.5;6.5;11.76;7.76;2.5875084540924687
11.0;8.0;11.76;7.76;0.7969943538068509
15.5;8.0;11.76;7.76;3.7476926234684727
11.0;8.0;11.76;7.76;0.7969943538068509
11.0;8.0;11.76;7.76;0.7969943538068509
11.0;6.5;11.39;5.0;1.549870962370739
11.0;8.0;11.39;5.0;3.025243791829016
9.5;5.0;11.39;5.0;1.8900000000000006
5.0;8.0;11.39;5.0;7.059185505424829
11.0;8.0;11.39;5.0;3.025243791829016
9.5;6.5;12.95;5.25;3.6694686263817538
12.5;6.5;12.95;5.25;1.328533025558642
12.5;8.0;12.95;5.25;2.7865749586185546
8.0;8.0;12.95;5.25;5.66259657754285
9.5;5.0;12.95;5.25;3.459046111285595
9.5;5.0;13.46;7.85;4.8789445579961255
8.0;3.5;13.46;7.85;6.980981306378066
11.0;8.0;13.46;7.85;2.4645689278249057
15.5;8.0;13.46;7.85;2.0455072720476934
15.5;8.0;13.46;7.85;2.0455072720476934
17.0;8.0;14.98;7.55;2.069516851827981
14.0;3.5;14.98;7.55;4.166881327803805
17.0;8.0;14.98;7.55;2.069516851827981
15.5;8.0;14.98;7.55;0.6876772498781675
11.0;5.0;14.98;7.55;4.726827688841641
-22.0;-10.75;21.45;6.62;46.79336918837967
2.0;11.0;21.45;6.62;19.937073506410112
2.0;11.0;21.45;6.62;19.937073506410112
2.0;11.0;21.45;6.62;19.937073506410112
26.0;8.0;21.45;6.62;4.754671387172831
2.0;11.0;21.84;5.16;20.681663376044007
2.0;11.0;21.84;5.16;20.681663376044007
-22.0;-10.75;21.84;5.16;46.63768540568883
-22.0;-10.75;21.84;5.16;46.63768540568883
2.0;12.5;21.84;5.16;21.15422416445472
-22.0;-10.75;22.38;3.94;46.74805343541054
21.5;6.5;22.38;3.94;2.707027890510181
23.0;5.0;22.38;3.94;1.2280065146407007
-22.0;-10.75;22.38;3.94;46.74805343541054
2.0;11.0;22.38;3.94;21.5682173579552
2.0;11.0;22.3;6.36;20.82353476237884
2.0;11.0;22.3;6.36;20.82353476237884
23.0;5.0;22.3;6.36;1.5295751043999115
2.0;11.0;22.3;6.36;20.82353476237884
2.0;12.5;22.3;6.36;21.20824368022963
2.0;-7.75;28.12;7.57;30.28129455621077
0.5;-18.25;28.12;7.57;37.809215807789506
0.5;-18.25;28.12;7.57;37.809215807789506
24.5;5.0;28.12;7.57;4.439515739357167
26.0;8.0;28.12;7.57;2.1631689716709612
2.0;-15.25;31.78;7.62;37.54843938168403
-22.0;-10.75;31.78;7.62;56.830848137257284
32.0;8.0;31.78;7.62;0.43908996800200234
2.0;0.5;31.78;7.62;30.619320697886163
32.0;5.0;31.78;7.62;2.6292204167775663
-22.0;-10.75;32.16;7.08;57.01942212965683
0.5;0.5;32.16;7.08;32.336542796038046
2.0;9.5;32.16;7.08;30.256933089789516
2.0;-7.75;32.16;7.08;33.60884556184576
-22.0;-10.75;32.16;7.08;57.01942212965683
2.0;-7.75;32.68;3.48;32.6707101239015
32.0;6.5;32.68;3.48;3.0956097945316037
2.0;-7.75;32.68;3.48;32.6707101239015
2.0;11.0;32.68;3.48;31.588175002680988
24.5;5.0;32.68;3.48;8.320024038426812
21.5;6.5;23.5;4.22;3.0328864139627782
23.0;6.5;23.5;4.22;2.3341807984815577
23.0;3.5;23.5;4.22;0.8765842800324448
17.0;3.5;23.5;4.22;6.539755347105884
23.0;3.5;23.5;4.22;0.8765842800324448
24.5;5.0;25.23;7.78;2.8742477276671896
-22.0;-10.75;25.23;7.78;50.734936680752845
0.5;-18.25;25.23;7.78;35.904509466082395
0.5;-18.25;25.23;7.78;35.904509466082395
2.0;11.0;25.23;7.78;23.452106515193897
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-22.0;-9.25;-23.9;-9.65;1.9416487838947585
-17.5;-10.75;-23.9;-9.65;6.493843238021686
-17.5;-9.25;-23.0;-10.55;5.651548460377917
-22.0;-9.25;-23.0;-10.55;1.6401219466856731
-17.5;-9.25;-23.0;-10.55;5.651548460377917
-19.0;-9.25;-23.0;-10.55;4.205948168962618
-17.5;-9.25;-23.0;-10.55;5.651548460377917
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-17.5;-9.25;-19.65;-10.7;2.5932604959779866
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-19.0;-9.25;-19.65;-10.7;1.589024858207069
-14.5;-9.25;-17.35;-11.2;3.4532593299664023
24.5;3.5;-17.35;-11.2;44.356651135990866
-14.5;-9.25;-17.35;-11.2;3.4532593299664023
24.5;3.5;-17.35;-11.2;44.356651135990866
-22.0;-9.25;-17.35;-11.2;5.042320894191482
-19.0;-9.25;-15.5;-9.6;3.5174564673923117
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
-14.5;-10.75;-15.5;-9.6;1.5239750654128172
-14.5;-10.75;-15.5;-9.6;1.5239750654128172
-10.0;-10.75;-15.5;-9.6;5.618941181397079
-13.0;-10.75;-12.9;-10.5;0.2692582403567251
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-10.0;-9.25;-12.9;-10.5;3.157926534927626
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-14.5;-10.75;-10.55;-9.9;4.040420770167383
0.5;-18.25;-10.55;-9.9;13.850090252413521
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-7.0;-9.25;-10.55;-9.9;3.6090164865237186
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-14.5;-10.75;-9.2;-10.75;5.300000000000001
-14.5;-10.75;-9.2;-10.75;5.300000000000001
-14.5;-10.75;-9.2;-10.75;5.300000000000001
-14.5;-10.75;-9.2;-10.75;5.300000000000001
-14.5;-10.75;-9.2;-10.75;5.300000000000001
2.0;-15.25;-6.35;-10.2;9.75832977512033
-5.5;-10.75;-6.35;-10.2;1.0124228365658294
-7.0;-9.25;-6.35;-10.2;1.1510864433221335
24.5;3.5;-6.35;-10.2;33.75518478693311
24.5;3.5;-6.35;-10.2;33.75518478693311
-2.5;-9.25;-4.1;-9.9;1.726991603917054
24.5;3.5;-4.1;-9.9;31.583540016913872
-2.5;-9.25;-4.1;-9.9;1.726991603917054
26.0;3.5;-4.1;-9.9;32.947989316496994
-2.5;-9.25;-4.1;-9.9;1.726991603917054
-2.5;-10.75;-2.05;-11.1;0.5700877125495689
30.5;8.0;-2.05;-11.1;37.7400649178032
-8.5;-10.75;-2.05;-11.1;6.459489143887464
24.5;3.5;-2.05;-11.1;30.29954620122222
30.5;8.0;-2.05;-11.1;37.7400649178032
23.0;5.0;-0.95;-9.95;28.23304801115175
24.5;3.5;-0.95;-9.95;28.78549982195897
