# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
-21.0;-10.25;-23.9;-9.65;2.9614185789921676
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-23.0;-10.25;-23.9;-9.65;1.0816653826391953
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
10.5;8.0;-23.0;-10.55;38.29298238581059
29.0;4.5;-23.0;-10.55;54.13411586051812
-22.0;-9.75;-23.0;-10.55;1.2806248474865702
-21.5;-10.75;-23.0;-10.55;1.5132745950421556
-16.0;-9.25;-19.65;-10.7;3.9274673773310944
-18.5;-10.25;-19.65;-10.7;1.2349089035228453
-17.5;-10.75;-19.65;-10.7;2.1505813167606553
-18.0;-10.75;-19.65;-10.7;1.6507574019219162
-19.0;-10.25;-19.65;-10.7;0.7905694150420933
-19.0;-10.75;-17.35;-11.2;1.7102631376487054
-9.5;-11.75;-17.35;-11.2;7.869243928103895
-18.0;-10.75;-17.35;-11.2;0.7905694150420933
-16.0;-10.75;-17.35;-11.2;1.4230249470757717
-16.0;-10.25;-17.35;-11.2;1.6507574019219184
-15.0;-9.75;-15.5;-9.6;0.5220153254455276
-20.0;-9.75;-15.5;-9.6;4.5024993059410905
-16.0;-9.25;-15.5;-9.6;0.6103277807866849
-15.0;-10.75;-15.5;-9.6;1.2539936203984456
-13.0;-9.75;-15.5;-9.6;2.5044959572736385
-14.0;-10.75;-12.9;-10.5;1.1280514172678475
-11.0;-10.75;-12.9;-10.5;1.9163767896736803
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-13.5;-10.75;-12.9;-10.5;0.6499999999999997
-12.5;-10.25;-12.9;-10.5;0.4716990566028305
-12.0;-10.75;-10.55;-9.9;1.6807736313971602
-7.0;-10.75;-10.55;-9.9;3.6503424496887966
-12.0;-10.75;-10.55;-9.9;1.6807736313971602
-6.5;-12.75;-10.55;-9.9;4.9522722057657536
-6.0;-12.75;-10.55;-9.9;5.368891878218447
