# estimated x; estimated y; actual x; actual y; error distance (1 decimal)
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-17.5;-9.25;-23.9;-9.65;6.412487816752558
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-23.5;-10.75;-23.9;-9.65;1.1704699910719618
-20.5;-10.75;-23.0;-10.55;2.5079872407968904
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-22.0;-10.75;-23.0;-10.55;1.0198039027185568
-20.5;-10.75;-23.0;-10.55;2.5079872407968904
-20.5;-9.25;-23.0;-10.55;2.8178005607210745
-19.0;-10.75;-19.65;-10.7;0.6519202405202635
-14.5;-9.25;-19.65;-10.7;5.350233639758173
-14.5;-9.25;-19.65;-10.7;5.350233639758173
-14.5;-9.25;-19.65;-10.7;5.350233639758173
-14.5;-9.25;-19.65;-10.7;5.350233639758173
27.5;3.5;-17.35;-11.2;47.19758998084542
-16.0;-9.25;-17.35;-11.2;2.3717082451262845
-10.0;-9.25;-17.35;-11.2;7.604275113381947
-17.5;-10.75;-17.35;-11.2;0.4743416490252558
-20.5;-10.75;-17.35;-11.2;3.181980515339462
-16.0;-10.75;-15.5;-9.6;1.2539936203984456
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
30.5;3.5;-15.5;-9.6;47.82896611886985
-14.5;-9.25;-15.5;-9.6;1.0594810050208545
-22.0;-10.75;-15.5;-9.6;6.600946901770987
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-14.5;-10.75;-12.9;-10.5;1.6194134740701642
-8.5;-10.75;-12.9;-10.5;4.407096549884062
-14.5;-10.75;-10.55;-9.9;4.040420770167383
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-8.5;-10.75;-10.55;-9.9;2.2192341021172153
-11.5;-10.75;-10.55;-9.9;1.2747548783981955
-13.0;-10.75;-9.2;-10.75;3.8000000000000007
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
-7.0;-9.25;-9.2;-10.75;2.662705391138869
-11.5;-10.75;-9.2;-10.75;2.3000000000000007
-8.5;-10.75;-9.2;-10.75;0.6999999999999993
32.0;5.0;-6.35;-10.2;41.25242417119266
32.0;5.0;-6.35;-10.2;41.25242417119266
-4.0;-9.25;-6.35;-10.2;2.5347583711273147
-7.0;-9.25;-6.35;-10.2;1.1510864433221335
2.0;-13.75;-6.35;-10.2;9.07331251528349
-8.5;-9.25;-4.1;-9.9;4.447752241301218
